,Control_1,Hot_1,Control_2,Hot_2,pval.heat,padj.heat
isogroup112502,6.71077116188957,3.43713888985485,6.97045843994412,3.36184550151445,1.09118972182581e-21,4.37697171630664e-20
isogroup112511,4.97313913663009,3.26871557410146,4.82477765603869,3.26497064142243,7.10901738844773e-09,1.12152402551148e-07
isogroup112531,5.97070373021227,7.61036423037107,6.30699067976558,6.21705707982116,0.0444751185554125,0.258630266139164
isogroup112586,7.92158794965242,3.183540029123,7.81843069974458,3.22799783325127,2.19864803695101e-24,1.06725781320053e-22
isogroup112627,5.97160748464362,6.22041970366656,5.22274192054787,5.95548478222442,0.248685169411581,0.690190636445564
isogroup112696,8.31836870630091,3.19844982238413,7.23374380128933,3.0995856950304,2.36793954897366e-20,8.44975138622937e-19
isogroup112787,7.39386561490774,4.16278319460491,7.69347899007109,3.29442848970286,0.00782942448424412,0.0633345888357451
isogroup112882,8.33428321046197,3.32098047823354,7.98816390052921,3.15267535269427,3.72315277593571e-29,2.47499583322887e-27
isogroup112889,8.31514875965066,3.23615604454211,7.87659576603091,3.13625080094694,8.75732136920089e-25,4.42800199962891e-23
isogroup112913,7.35637348226963,8.15200113211705,7.51871486445012,6.50564784655848,0.760728539892421,0.959113697511965
isogroup112942,6.37488029492785,6.50507395454563,6.05940981345657,6.49053081847502,0.326598550032621,0.765272925545153
isogroup112956,6.93172826748371,3.47095786267119,6.7130641931319,3.21849616714786,5.90650003254473e-19,1.90556867977558e-17
isogroup112971,8.02920368735029,3.99943428933937,8.01678967322785,3.29571005157128,5.63976195548793e-23,2.44676619995195e-21
isogroup112986,5.92829034638104,7.68847905777811,6.55734573691502,6.34570407206499,0.0637934580559223,0.330802807182828
isogroup112990,7.86885433202302,2.89136030146444,5.88405834997646,2.94745884783589,5.00962277238272e-10,8.57618286869174e-09
isogroup113006,8.21245860746911,3.7340677660966,7.8904210744764,3.23668421297689,5.58944080970685e-32,4.51703535239349e-30
isogroup11311,0.409364202956606,0.402260351493295,0.512555019588251,0.45616336424118,0.76422587892751,NA
isogroup113115,6.1482065543572,7.79408641188816,6.76453327920018,6.4935729358458,0.0903419026053338,0.412455443464839
isogroup113141,6.50746649347071,7.70546915768943,6.64355079251713,6.18461634289648,0.22526617615657,0.662532377441647
isogroup113149,5.87437466222813,6.16973649791533,6.27358084192141,6.26003708607332,0.684077672053317,0.941589439415702
isogroup113179,6.99584664394692,3.13387261521369,6.50181627398949,3.11772958101273,1.99676869862367e-13,4.39502386722427e-12
isogroup113183,7.32919594872207,3.58374521924658,7.46344915046673,3.26605667490367,2.50548797420183e-27,1.53551950716325e-25
isogroup113257,7.7153293007458,3.41011491628021,7.51076737369547,3.1180780325574,6.2366638505227e-25,3.19309441738252e-23
isogroup113282,8.06446077466378,3.31288744360095,7.6786630704869,3.07341498558707,2.28745022799102e-23,1.02754508061744e-21
isogroup113286,3.675428135411,2.91556018247466,3.80457603523463,2.91428847336101,6.28331329166545e-06,7.93767838516449e-05
isogroup113296,6.88443072323787,3.17319027895852,7.39998801337206,3.40456453719094,2.71744037342522e-20,9.59308822190325e-19
isogroup113392,5.72113995953623,7.01449931951747,6.31685658790025,5.68028023163815,0.339160254786671,0.776757631776416
isogroup113419,5.60902934360006,7.31978012189301,5.78089412145246,5.94611724282649,0.0150567014254687,0.110077507627617
isogroup113433,7.27223662597752,7.68194931659083,6.71890780477261,7.39144028221701,0.0950907185169846,0.423807944166263
isogroup113436,5.62156988884873,7.47323527935085,6.2701388710277,5.90400607610103,0.0778981871850119,0.374738696799564
isogroup113511,5.95004518574713,3.32617460550065,6.15718281601329,3.2627636986794,2.39311180852201e-09,3.91397234873948e-08
isogroup113562,8.58043647126322,5.27782321293845,8.2307270649726,4.49359669145238,2.57011980741855e-20,9.11204196668863e-19
isogroup113596,9.23181316984652,3.65659167894262,8.72180844440186,3.10683484675985,6.41185756758126e-06,8.08767282778459e-05
isogroup113603,8.90476451555089,7.00014560078919,8.92193306068683,6.75653894239615,1.96470201635488e-20,7.07206931039881e-19
isogroup113853,9.29255853725278,9.87721551252652,7.21835023744973,4.39593239715756,0.852416613344573,0.973397540181383
isogroup113900,8.7851162652766,8.39352974234496,8.71260787238765,8.39562649207859,0.0652749990597143,0.335136603705528
isogroup113955,6.99737841241642,3.59833086814233,6.84449802050626,3.24295107393589,1.38332454028096e-19,4.61649562167448e-18
isogroup114019,9.57019399825727,9.52269031207689,9.66568958263897,9.37659146465925,0.350913262016777,0.784689795532129
isogroup11426,0,0,0,0,NA,NA
isogroup114288,7.78724343933879,7.79535863042174,7.8872373594936,7.84835056325625,0.937278835543007,0.987331202341953
isogroup114367,9.34741631858972,9.15126328051459,9.58205263821124,9.56121989947277,0.680821324273264,0.940952209879036
isogroup114652,9.08390790796248,3.32041854751463,8.42698741674017,3.21862907895296,7.12339528298721e-35,7.0321134512172e-33
isogroup114684,8.52715967357424,3.77075417361826,8.11367683851291,3.13815815239402,0.000152320155500713,0.00167075853864588
isogroup114763,9.17914271835594,8.31920016924501,9.39056743616802,8.45400301391881,8.08648428566484e-06,0.000100842496167527
isogroup115050,9.58117989713963,9.29157428178578,9.49032889218552,9.2497152884629,0.125271600507156,0.497145325982815
isogroup115090,9.40769686869783,9.11464536864107,9.58270684870699,9.09850950133395,0.03141094303012,0.199547686957099
isogroup115953,9.74422664088536,11.1431295135251,9.59760337286726,11.160662439469,4.95020653327244e-20,1.72535105512747e-18
isogroup116182,13.2774873046007,12.9351441858123,13.4115606538143,13.1319302829992,0.0534611357025677,0.293982749563886
isogroup116184,14.0501375048014,13.5874498081372,14.2863231535298,13.8428946239826,0.0130898681131907,0.0979126886179958
isogroup116251,10.4310287205177,10.2383943942116,10.6233307184442,10.5274183581683,0.478102360145781,0.859729004075408
isogroup116707,10.6053476937412,3.45715493379182,9.49054937538829,3.28669628399587,6.4047684614597e-44,1.08854652428479e-41
isogroup116908,8.77198770921931,9.04072473650826,8.68276807289848,8.86372426815636,0.254723768180172,0.697190689640645
isogroup116942,8.85463513006458,8.96676702435034,8.74889984519644,9.00606805321051,0.325308757941474,0.764516282979839
isogroup117221,8.02797927826042,4.98974153783954,8.08685059976427,6.92567482849303,0.00486431042246444,0.041336609084922
isogroup117568,8.66000690364367,3.60712377498868,8.49544880238631,3.19506434721783,1.05951206049443e-42,1.64784111597276e-40
